A4GALT	ENSG00000128274
DUSP6	ENSG00000139318
DVL1	ENSG00000107404
DVL3	ENSG00000161202
DYM	ENSG00000141627
DYNC1H1	ENSG00000197102
DYNC2H1	ENSG00000187240
DYRK1A	ENSG00000157540
DYRK1B	ENSG00000105204
DYSF	ENSG00000135636
DYX1C1	ENSG00000256061
EARS2	ENSG00000103356
EBP	ENSG00000147155
ECE1	ENSG00000117298
ECEL1	ENSG00000171551
ECHS1	ENSG00000127884
ECM1	ENSG00000143369
EDA	ENSG00000158813
EDARADD	ENSG00000186197
EDAR	ENSG00000135960
EDC3	ENSG00000179151
EDN1	ENSG00000078401
EDN3	ENSG00000124205
EDNRA	ENSG00000151617
EDNRB	ENSG00000136160
EEF1A2	ENSG00000101210
EEF2	ENSG00000167658
EFEMP1	ENSG00000115380
EFEMP2	ENSG00000172638
EFHC1	ENSG00000096093
EFNB1	ENSG00000090776
EFTUD2	ENSG00000108883
EGF	ENSG00000138798
EGFR	ENSG00000146648
EGLN1	ENSG00000135766
EGR2	ENSG00000122877
EHBP1	ENSG00000115504
EHHADH	ENSG00000113790
EHMT1	ENSG00000181090
EIF2AK3	ENSG00000172071
EIF2AK4	ENSG00000128829
EIF2B1	ENSG00000111361
EIF2B2	ENSG00000119718
EIF2B3	ENSG00000070785
EIF2B4	ENSG00000115211
EIF2B5	ENSG00000145191
EIF4A3	ENSG00000141543
EIF4E	ENSG00000151247
EIF4G1	ENSG00000114867
ELAC2	ENSG00000006744
ELANE	ENSG00000197561
ELMOD3	ENSG00000115459
ELN	ENSG00000049540
ELOVL4	ENSG00000118402
ELOVL5	ENSG00000012660
ELP4	ENSG00000109911
EMC1	ENSG00000127463
EMD	ENSG00000102119
EMG1	ENSG00000126749
EMP2	ENSG00000213853
EMX2	ENSG00000170370
ENAM	ENSG00000132464
ENG	ENSG00000106991
ENO3	ENSG00000108515
ENPP1	ENSG00000197594
ENTPD1	ENSG00000138185
EOGT	ENSG00000163378
EP300	ENSG00000100393
EPAS1	ENSG00000116016
EPB41	ENSG00000159023
EPB41L1	ENSG00000088367
EPB42	ENSG00000166947
EPCAM	ENSG00000119888
EPG5	ENSG00000152223
EPHA2	ENSG00000142627
EPHB2	ENSG00000133216
EPHX1	ENSG00000143819
EPHX2	ENSG00000120915
EPM2A	ENSG00000112425
EPO	ENSG00000130427
EPOR	ENSG00000187266
EPS8	ENSG00000151491
EPX	ENSG00000121053
ERBB2	ENSG00000141736
ERBB3	ENSG00000065361
ERBB4	ENSG00000178568
ERCC1	ENSG00000012061
ERCC2	ENSG00000104884
ERCC3	ENSG00000163161
ERCC4	ENSG00000175595
ERCC5	ENSG00000134899
ERCC6	ENSG00000225830
ERCC6L2	ENSG00000182150
ERCC8	ENSG00000049167
ERF	ENSG00000105722
ERLIN1	ENSG00000107566
ERLIN2	ENSG00000147475
ERMAP	ENSG00000164010
ERMARD	ENSG00000276187
ESCO2	ENSG00000171320
ESPN	ENSG00000187017
ESR1	ENSG00000091831
ESRRB	ENSG00000119715
ETFA	ENSG00000140374
ETFB	ENSG00000105379
ETFDH	ENSG00000171503
ETHE1	ENSG00000105755
ETV6	ENSG00000139083
EVC2	ENSG00000173040
EVC	ENSG00000072840
EWSR1	ENSG00000182944
EXOSC3	ENSG00000107371
EXOSC8	ENSG00000120699
EXPH5	ENSG00000110723
EXT1	ENSG00000182197
EXT2	ENSG00000151348
EYA1	ENSG00000104313
EYA4	ENSG00000112319
EYS	ENSG00000188107
EZH1	ENSG00000108799
EZH2	ENSG00000106462
F10	ENSG00000126218
F11	ENSG00000088926
F12	ENSG00000131187
F13A1	ENSG00000124491
F13B	ENSG00000143278
F2	ENSG00000180210
F5	ENSG00000198734
F7	ENSG00000057593
F8	ENSG00000185010
F9	ENSG00000101981
FA2H	ENSG00000103089
FAAH	ENSG00000117480
FADD	ENSG00000168040
FAH	ENSG00000103876
FAM111A	ENSG00000166801
FAM111B	ENSG00000189057
FAM126A	ENSG00000122591
FAM134B	ENSG00000154153
FAM13A-AS1	ENSG00000248019
FAM161A	ENSG00000170264
FAM20A	ENSG00000108950
FAM20C	ENSG00000177706
FAM58A	ENSG00000262919
FAM65B	ENSG00000111913
FAM83H	ENSG00000180921
FAN1	ENSG00000198690
FANCA	ENSG00000187741
FANCB	ENSG00000181544
FANCC	ENSG00000158169
FANCD2	ENSG00000144554
FANCE	ENSG00000112039
FANCF	ENSG00000183161
FANCG	ENSG00000221829
FANCI	ENSG00000140525
FANCL	ENSG00000115392
FAR1	ENSG00000197601
FARS2	ENSG00000145982
FAS	ENSG00000026103
FASLG	ENSG00000117560
FASTKD2	ENSG00000118246
FAT4	ENSG00000196159
FBLN5	ENSG00000140092
FBN1	ENSG00000166147
FBN2	ENSG00000138829
FBP1	ENSG00000165140
FBXL4	ENSG00000112234
FBXO31	ENSG00000103264
FBXO38	ENSG00000145868
FBXO7	ENSG00000100225
FCGR1A	ENSG00000150337
FCGR2A	ENSG00000143226
FCGR2B	ENSG00000072694
FCGR3A	ENSG00000203747
FCGR3B	ENSG00000162747
FCN3	ENSG00000142748
FCP1	
FDPS	ENSG00000160752
FECH	ENSG00000066926
FERMT3	ENSG00000149781
FEZ1	ENSG00000149557
FEZF1	ENSG00000128610
FFAR4	ENSG00000186188
FGA	ENSG00000171560
FGB	ENSG00000171564
FGD1	ENSG00000102302
FGD2	ENSG00000146192
FGD4	ENSG00000139132
FGF10	ENSG00000070193
FGF14	ENSG00000102466
FGF16	ENSG00000196468
FGF17	ENSG00000158815
FGF20	ENSG00000078579
FGF23	ENSG00000118972
FGF3	ENSG00000186895
FGF5	ENSG00000138675
FGF8	ENSG00000107831
FGF9	ENSG00000102678
FGFR1	ENSG00000077782
FGFR2	ENSG00000066468
FGFR3	ENSG00000068078
FGFR4	ENSG00000160867
FGG	ENSG00000171557
FH	ENSG00000091483
FHL1	ENSG00000022267
FHL3	ENSG00000183386
FHL5	ENSG00000112214
FIG4	ENSG00000112367
FIGLA	ENSG00000183733
FKBP10	ENSG00000141756
FKBP14	ENSG00000106080
FKBP5	ENSG00000096060
FKRP	ENSG00000181027
FKTN	ENSG00000106692
FLCN	ENSG00000154803
FLG	ENSG00000143631
FLNA	ENSG00000196924
FLNB	ENSG00000136068
FLNC	ENSG00000128591
FLRT3	ENSG00000125848
FLT3	ENSG00000122025
FLT4	ENSG00000037280
FLVCR1-AS1	ENSG00000198468
FLVCR1	ENSG00000162769
FLVCR2	ENSG00000119686
FMN2	ENSG00000155816
FMO3	ENSG00000007933
FMR1-AS1	ENSG00000268066
FMR1	ENSG00000102081
FN1	ENSG00000115414
FOLR1	ENSG00000110195
FOXC1	ENSG00000054598
FOXC2	ENSG00000176692
FOXD3	ENSG00000187140
FOXE1	ENSG00000178919
FOXE3	ENSG00000186790
FOXF1	ENSG00000103241
FOXG1	ENSG00000176165
FOXI1	ENSG00000168269
FOXL2	ENSG00000183770
FOXN1	ENSG00000109101
FOXP1	ENSG00000114861
FOXP2	ENSG00000128573
FOXP3	ENSG00000049768
FOXRED1	ENSG00000110074
FRAS1	ENSG00000138759
FREM1	ENSG00000164946
FREM2	ENSG00000150893
FRMD4A	ENSG00000151474
FRMD7	ENSG00000165694
FRZB	ENSG00000162998
FSCN2	ENSG00000186765
FSHB	ENSG00000131808
FSHR	ENSG00000170820
FTCD	ENSG00000281775
FTH1	ENSG00000167996
FTL	ENSG00000087086
FTO	ENSG00000140718
FTSJ1	ENSG00000068438
FUCA1	ENSG00000179163
FUS	ENSG00000089280
FUT1	ENSG00000174951
FUT2	ENSG00000176920
FUT3	ENSG00000171124
FUT6	ENSG00000156413
FUZ	ENSG00000010361
FXN	ENSG00000165060
FXYD2	ENSG00000137731
FYCO1	ENSG00000163820
FZD4	ENSG00000174804
FZD6	ENSG00000164930
G6PC3	ENSG00000141349
G6PC	ENSG00000131482
G6PD	ENSG00000160211
GAA	ENSG00000171298
GABBR2	ENSG00000136928
GABRA1	ENSG00000022355
GABRA2	ENSG00000151834
GABRB3	ENSG00000166206
GABRD	ENSG00000187730
GABRG2	ENSG00000113327
GAD1	ENSG00000128683
GALC	ENSG00000054983
GALE	ENSG00000117308
GAL	ENSG00000069482
GALK1	ENSG00000108479
GALNS	ENSG00000141012
GALNT12	ENSG00000119514
GALNT3	ENSG00000115339
GALT	ENSG00000213930
GAMT	ENSG00000130005
GAN	ENSG00000261609
GARS	ENSG00000106105
GAS8-AS1	
GAS8	ENSG00000141013
GATA1	ENSG00000102145
GATA2	ENSG00000179348
GATA3	ENSG00000107485
GATA4	ENSG00000136574
GATA6	ENSG00000141448
GATAD1	ENSG00000157259
GATAD2B	ENSG00000261992
GATM	ENSG00000171766
GBA2	ENSG00000070610
GBA	ENSG00000177628
GBE1	ENSG00000114480
GCDH	ENSG00000105607
GCGR	ENSG00000215644
GCH1	ENSG00000131979
GCK	ENSG00000106633
GCKR	ENSG00000084734
GCLC	ENSG00000001084
GCLM	ENSG00000023909
GCM2	ENSG00000124827
GCNT2	ENSG00000111846
GCSH	ENSG00000140905
GDAP1	ENSG00000104381
GDF1	ENSG00000223802
GDF2	ENSG00000263761
GDF3	ENSG00000184344
GDF5	ENSG00000125965
GDF6	ENSG00000156466
GDI1	ENSG00000203879
GDNF	ENSG00000168621
GFAP	ENSG00000131095
GFER	ENSG00000127554
GFI1B	ENSG00000165702
GFI1	ENSG00000162676
GFM1	ENSG00000168827
GFPT1	ENSG00000198380
GGCX	ENSG00000115486
GH1	ENSG00000259384
GHR	ENSG00000112964
GHRHR	ENSG00000106128
GHRL	ENSG00000157017
GHSR	ENSG00000121853
GIF	ENSG00000134812
GIGYF2	ENSG00000204120
GIPC3	ENSG00000179855
GIP	ENSG00000159224
GJA1	ENSG00000152661
GJA3	ENSG00000121743
GJA5	ENSG00000265107
GJA8	ENSG00000121634
GJB1	ENSG00000169562
GJB2	ENSG00000165474
GJB3	ENSG00000188910
GJB4	ENSG00000189433
GJB6	ENSG00000121742
GJC2	ENSG00000198835
GK	ENSG00000198814
GLA	ENSG00000102393
GLB1	ENSG00000170266
GLCCI1	ENSG00000106415
GLDC	ENSG00000178445
GLE1	ENSG00000119392
GLI2	ENSG00000074047
GLI3	ENSG00000106571
GLIS2	ENSG00000274636
GLIS3	ENSG00000107249
GLRA1	ENSG00000145888
GLRB	ENSG00000109738
GLRX5	ENSG00000182512
GLUD1	ENSG00000148672
GLUL	ENSG00000135821
GLYCTK	ENSG00000168237
GM2A	ENSG00000196743
GMNN	ENSG00000112312
GMPPA	ENSG00000144591
GMPPB	ENSG00000173540
GNA11	ENSG00000088256
GNAI2	ENSG00000114353
GNAI3	ENSG00000065135
GNAL	ENSG00000141404
GNAO1	ENSG00000087258
GNAQ	ENSG00000156052
GNAS-AS1	ENSG00000235590
GNAS	ENSG00000087460
GNAT1	ENSG00000114349
GNAT2	ENSG00000134183
GNB3	ENSG00000111664
GNB4	ENSG00000114450
GNE	ENSG00000159921
GNG12-AS1	ENSG00000232284
GNMT	ENSG00000124713
GNPAT	ENSG00000116906
GNPTAB	ENSG00000111670
GNRH1	ENSG00000147437
GNRHR	ENSG00000109163
GNS	ENSG00000135677
GORAB	ENSG00000120370
GOSR2	ENSG00000108433
GOT1	ENSG00000120053
GP1BA	ENSG00000185245
GP1BB	ENSG00000203618
GP6	ENSG00000088053
GP9	ENSG00000169704
GPC3	ENSG00000147257
GPC6	ENSG00000183098
GPD1	ENSG00000167588
GPD1L	ENSG00000152642
GPD2	ENSG00000115159
GPHN	ENSG00000171723
GPI	ENSG00000282019
GPIHBP1	ENSG00000277494
GPR101	ENSG00000165370
GPR143	ENSG00000101850
GPR179	ENSG00000277399
GPR88	ENSG00000181656
GPSM2	ENSG00000121957
GPT2	ENSG00000166123
GPX4	ENSG00000167468
GRHL2	ENSG00000083307
GRHL3	ENSG00000158055
GRHPR	ENSG00000137106
GRIA3	ENSG00000125675
GRID2	ENSG00000152208
GRIK2	ENSG00000164418
GRIN1	ENSG00000176884
GRIN2A	ENSG00000183454
GRIN2B	ENSG00000273079
GRIP1	ENSG00000155974
GRK1	
GRM1	ENSG00000152822
GRM6	ENSG00000113262
GRN	ENSG00000030582
GRXCR1	ENSG00000215203
GRXCR2	ENSG00000204928
GSC	ENSG00000133937
GSN	ENSG00000148180
GSS	ENSG00000100983
GTF2E2	ENSG00000197265
GTF2H5	ENSG00000272047
GTPBP3	ENSG00000130299
GUCA1A	ENSG00000048545
GUCA1B	ENSG00000112599
GUCY1A3	ENSG00000164116
GUCY2C	ENSG00000070019
GUCY2D	ENSG00000132518
GULOP	
GUSB	ENSG00000169919
GYG1	ENSG00000163754
GYPA	ENSG00000170180
GYPB	ENSG00000250361
GYPC	ENSG00000136732
GYS1	ENSG00000104812
GYS2	ENSG00000111713
H19	ENSG00000130600
H6PD	ENSG00000049239
HABP2	ENSG00000148702
HACE1	ENSG00000085382
HADHA	ENSG00000084754
HADHB	ENSG00000138029
HAL	ENSG00000084110
HAMP	ENSG00000105697
HARS2	ENSG00000112855
HARS	ENSG00000170445
HAS2-AS1	
HAVCR1	ENSG00000113249
HAX1	ENSG00000143575
HBA1	ENSG00000206172
HBA2	ENSG00000188536
HBB	ENSG00000244734
HBD	ENSG00000223609
HBG1	ENSG00000213934
HBG2	ENSG00000196565
HCCS	ENSG00000004961
HCFC1	ENSG00000172534
HCN1	ENSG00000164588
HCN4	ENSG00000138622
HCRT	ENSG00000161610
HDAC6	ENSG00000094631
HDAC8	ENSG00000147099
HDC	ENSG00000140287
HELLS	ENSG00000119969
HEPACAM	ENSG00000165478
HERC2	ENSG00000128731
HES7	ENSG00000179111
HESX1	ENSG00000163666
HEXA	ENSG00000213614
HEXB	ENSG00000049860
HFE	ENSG00000010704
HFM1	ENSG00000162669
HGD	ENSG00000113924
HGF	ENSG00000019991
HGSNAT	ENSG00000165102
HIBCH	ENSG00000198130
HIF1A-AS1	ENSG00000258777
HINT1	ENSG00000169567
HK1	ENSG00000156515
HLA-A	ENSG00000229215
HLA-B	ENSG00000234745
HLA-C	ENSG00000228299
HLA-DPB1	ENSG00000230763
HLA-DQA1	ENSG00000196735
HLA-DQB1	ENSG00000225824
HLA-DRA	ENSG00000226260
HLA-DRB1	ENSG00000206306
HLCS	ENSG00000159267
HMBS	ENSG00000256269
HMCN1	ENSG00000143341
HMGA1	ENSG00000137309
HMGB3	ENSG00000029993
HMGCL	ENSG00000117305
HMGCR	ENSG00000113161
HMGCS2	ENSG00000134240
HMMR	ENSG00000072571
HMOX1	ENSG00000100292
HMX1	ENSG00000215612
HNF1A	ENSG00000135100
HNF1B	ENSG00000275410
HNF4A	ENSG00000101076
HNMT	ENSG00000150540
HNRNPA1	ENSG00000135486
HNRNPDL	ENSG00000152795
HNRNPK	ENSG00000165119
HOGA1	ENSG00000241935
HOMER2	ENSG00000103942
HOXA11-AS	ENSG00000240990
HOXA11	ENSG00000005073
HOXA13	ENSG00000106031
HOXA1	ENSG00000105991
HOXA2	ENSG00000105996
HOXB1	ENSG00000120094
HOXC13	ENSG00000123364
HOXD10	ENSG00000128710
HOXD13	ENSG00000128714
HPCA	ENSG00000121905
HPD	ENSG00000158104
HP	ENSG00000257017
HPGD	ENSG00000164120
HPRT1	ENSG00000165704
HPS1	ENSG00000107521
HPS3	ENSG00000163755
HPS4	ENSG00000100099
HPS5	ENSG00000110756
HPS6	ENSG00000166189
HPSE2	ENSG00000172987
HRAS	ENSG00000174775
HR	ENSG00000168453
HRG	ENSG00000113905
HS6ST1	ENSG00000136720
HSD11B1	ENSG00000117594
HSD11B2	ENSG00000176387
HSD17B10	ENSG00000072506
HSD17B3	ENSG00000130948
HSD17B4	ENSG00000133835
HSD3B2	ENSG00000203859
HSD3B7	ENSG00000099377
HSF4	ENSG00000102878
HSPA9	ENSG00000113013
HSPB1	ENSG00000106211
HSPB3	ENSG00000169271
HSPB8	ENSG00000152137
HSPD1	ENSG00000144381
HSPG2	ENSG00000142798
HTR1A	ENSG00000178394
HTR2A	ENSG00000102468
HTRA1	ENSG00000166033
HTRA2	ENSG00000115317
HTRA3	ENSG00000170801
HTT	ENSG00000197386
HUWE1	ENSG00000086758
HYAL1	ENSG00000114378
HYDIN	ENSG00000157423
HYLS1	ENSG00000198331
IARS2	ENSG00000067704
IBA57	ENSG00000181873
ICAM1	ENSG00000090339
ICAM4	ENSG00000105371
ICK	ENSG00000112144
ICOS	ENSG00000163600
IDH1	ENSG00000138413
IDH2	ENSG00000182054
IDH3B	ENSG00000101365
IDI2-AS1	ENSG00000232656
IDS	ENSG00000010404
IDUA	ENSG00000127415
IER3IP1	ENSG00000134049
IFIH1	ENSG00000115267
IFITM3	ENSG00000142089
IFITM5	ENSG00000206013
IFNAR2	ENSG00000159110
IFNG	ENSG00000111537
IFNGR1	ENSG00000027697
IFNGR2	ENSG00000262795
IFNL3	ENSG00000197110
IFT122	ENSG00000163913
IFT140	ENSG00000187535
IFT172	ENSG00000138002
IFT27	ENSG00000100360
IFT43	ENSG00000119650
IFT80	ENSG00000068885
IGBP1	ENSG00000089289
IGF1	ENSG00000017427
IGF1R	ENSG00000140443
IGF2-AS	ENSG00000099869
IGF2BP2	ENSG00000073792
IGF2	ENSG00000167244
IGF2R	ENSG00000197081
IGFALS	ENSG00000099769
IGFBP7	ENSG00000163453
IGHG2	
IGHM	
IGHMBP2	ENSG00000132740
IGKC	
IGLL1	ENSG00000128322
IGSF1	ENSG00000147255
IGSF3	ENSG00000143061
IHH	ENSG00000163501
IKBKAP	ENSG00000070061
IKBKB	ENSG00000104365
IKBKG	ENSG00000269335
IKZF1	ENSG00000185811
IL10	ENSG00000136634
IL10RA	ENSG00000110324
IL11RA	ENSG00000137070
IL12B	ENSG00000113302
IL12RB1	ENSG00000096996
IL13	ENSG00000169194
IL17F	ENSG00000112116
IL17RA	ENSG00000177663
IL17RC	ENSG00000163702
IL17RD	ENSG00000144730
IL1B	ENSG00000125538
IL1RAPL1	ENSG00000169306
IL1RN	ENSG00000136689
IL21	ENSG00000138684
IL21R	ENSG00000103522
IL23R	ENSG00000162594
IL2RA	ENSG00000134460
IL2RG	ENSG00000147168
IL31RA	ENSG00000164509
IL36RN	ENSG00000136695
IL4R	ENSG00000077238
IL6	ENSG00000136244
IL6R	ENSG00000160712
IL7R	ENSG00000168685
ILDR1	ENSG00000145103
IMPAD1	ENSG00000104331
IMPDH1	ENSG00000106348
IMPDH2	ENSG00000178035
IMPG1	ENSG00000112706
IMPG2	ENSG00000081148
INF2	ENSG00000203485
ING1	ENSG00000153487
INPP5E	ENSG00000148384
INPPL1	ENSG00000165458
INS	ENSG00000254647
INSL3	ENSG00000248099
INSR	ENSG00000171105
INVS	ENSG00000119509
IQCB1	ENSG00000173226
IQSEC2	ENSG00000124313
IRAK3	ENSG00000090376
IRAK4	ENSG00000198001
IRF1	ENSG00000125347
IRF3	ENSG00000126456
IRF4	ENSG00000137265
IRF5	ENSG00000128604
IRF6	ENSG00000117595
IRF7	ENSG00000185507
IRF8	ENSG00000140968
IRGM	ENSG00000237693
IRS1	ENSG00000169047
IRS2	ENSG00000185950
IRX5	ENSG00000176842
ISCA2	ENSG00000165898
ISCU	ENSG00000136003
ISG15	ENSG00000187608
ISPD	ENSG00000214960
ITCH	ENSG00000078747
ITGA2B	ENSG00000005961
ITGA3	ENSG00000005884
ITGA6	ENSG00000091409
ITGA7	ENSG00000135424
ITGA8	ENSG00000077943
ITGAM	ENSG00000169896
ITGB2	ENSG00000160255
ITGB3	ENSG00000259207
ITGB4	ENSG00000132470
ITGB6	ENSG00000115221
ITIH4	ENSG00000055955
ITK	ENSG00000113263
ITM2B	ENSG00000136156
ITPA	ENSG00000125877
ITPKC	ENSG00000086544
ITPR1	ENSG00000150995
ITPR2	ENSG00000123104
IVD	ENSG00000128928
IYD	ENSG00000009765
JAG1	ENSG00000101384
JAGN1	ENSG00000171135
JAK2	ENSG00000096968
JAK3	ENSG00000105639
JAM3	ENSG00000166086
JPH1	ENSG00000104369
JPH2	ENSG00000149596
JPH3	ENSG00000154118
JUP	ENSG00000173801
KALRN	ENSG00000160145
KANK1	ENSG00000107104
KANK2	ENSG00000197256
KANSL1	ENSG00000120071
KARS	ENSG00000065427
KAT6A	ENSG00000083168
KAT6B	ENSG00000156650
KATNB1	ENSG00000140854
KBTBD13	ENSG00000234438
KCNA1	ENSG00000111262
KCNA2	ENSG00000177301
KCNA5	ENSG00000130037
KCNB1	ENSG00000158445
KCNC1	ENSG00000129159
KCNC3	ENSG00000131398
KCND3	ENSG00000171385
KCNE1	ENSG00000180509
KCNE2	ENSG00000159197
KCNE3	ENSG00000175538
KCNH1	ENSG00000143473
KCNH2	ENSG00000055118
KCNJ10	ENSG00000177807
KCNJ11	ENSG00000187486
KCNJ13	ENSG00000115474
KCNJ18	ENSG00000260458
KCNJ1	ENSG00000151704
KCNJ2	ENSG00000123700
KCNJ5	ENSG00000120457
KCNJ6	ENSG00000157542
KCNK18	ENSG00000186795
KCNK3	ENSG00000171303
KCNK9	ENSG00000169427
KCNMA1	ENSG00000156113
KCNMB1	ENSG00000145936
KCNN4	ENSG00000104783
KCNQ1	ENSG00000282076
KCNQ1OT1	ENSG00000269821
KCNQ2	ENSG00000281151
KCNQ3	ENSG00000184156
KCNQ4	ENSG00000117013
KCNT1	ENSG00000107147
KCNV2	ENSG00000168263
KCTD17	ENSG00000100379
KCTD1	ENSG00000134504
KCTD7	ENSG00000243335
KDM1A	ENSG00000004487
KDM5C	ENSG00000126012
KDM6A	ENSG00000147050
KDR	ENSG00000128052
KEL	ENSG00000197993
KERA	ENSG00000139330
KHDC3L	ENSG00000203908
KHK	ENSG00000138030
KIAA0196	ENSG00000164961
KIAA0319	ENSG00000137261
KIAA0556	ENSG00000047578
KIAA0586	ENSG00000100578
KIAA1033	ENSG00000136051
KIAA2022	ENSG00000050030
KIF11	ENSG00000138160
KIF14	ENSG00000118193
KIF1A	ENSG00000130294
KIF1B	ENSG00000054523
KIF1C	ENSG00000129250
KIF21A	ENSG00000139116
KIF22	ENSG00000079616
KIF2A	ENSG00000068796
KIF4A	ENSG00000090889
KIF5A	ENSG00000155980
KIF5C	ENSG00000276734
KIF7	ENSG00000166813
KIR3DL1	ENSG00000274948
KIRREL3	ENSG00000149571
KISS1	ENSG00000170498
KISS1R	ENSG00000116014
KIT	ENSG00000157404
KITLG	ENSG00000049130
KIZ	ENSG00000088970
KLC2	ENSG00000174996
KL	ENSG00000133116
KLF11	ENSG00000172059
KLF1	ENSG00000105610
KLF6	ENSG00000067082
KLHDC8B	ENSG00000185909
KLHL10	ENSG00000161594
KLHL3	ENSG00000146021
KLHL40	ENSG00000157119
KLHL41	ENSG00000239474
KLHL7	ENSG00000122550
KLK1	ENSG00000167748
KLK3	ENSG00000142515
KLK4	ENSG00000167749
KLKB1	ENSG00000164344
KLLN	ENSG00000227268
KMT2A	ENSG00000118058
KMT2D	ENSG00000167548
KNG1	ENSG00000113889
KPTN	ENSG00000118162
KRAS	ENSG00000133703
KRIT1	ENSG00000001631
KRT10	ENSG00000186395
KRT12	ENSG00000263243
KRT13	ENSG00000171401
KRT14	ENSG00000186847
KRT16	ENSG00000186832
KRT17	ENSG00000128422
KRT18	ENSG00000111057
KRT1	ENSG00000167768
KRT25	ENSG00000204897
KRT2	ENSG00000172867
KRT3	ENSG00000186442
KRT4	ENSG00000170477
KRT5	ENSG00000186081
KRT6A	ENSG00000205420
KRT6B	ENSG00000185479
KRT6C	ENSG00000170465
KRT71	ENSG00000139648
KRT74	ENSG00000170484
KRT75	ENSG00000170454
KRT81	ENSG00000205426
KRT83	ENSG00000170523
KRT85	ENSG00000135443
KRT86	ENSG00000170442
KRT8	ENSG00000170421
KRT9	ENSG00000171403
KYNU	ENSG00000115919
L1CAM	ENSG00000198910
L2HGDH	ENSG00000087299
LAMA1	ENSG00000101680
LAMA2	ENSG00000196569
LAMA3	ENSG00000053747
LAMA4	ENSG00000112769
LAMB1	ENSG00000091136
LAMB2	ENSG00000172037
LAMB3	ENSG00000196878
LAMC2	ENSG00000058085
LAMC3	ENSG00000050555
LAMP2	ENSG00000005893
LAMTOR2	ENSG00000116586
LARGE	ENSG00000133424
LARP7	ENSG00000174720
LARS2	ENSG00000011376
LARS	ENSG00000133706
LBR	ENSG00000143815
LCA5	ENSG00000135338
LCAT	ENSG00000213398
LCK	ENSG00000182866
LCT	ENSG00000115850
LDB3	ENSG00000122367
LDHA	ENSG00000134333
LDHB	ENSG00000111716
LDLRAP1	ENSG00000157978
LDLR	ENSG00000130164
LEF1	ENSG00000138795
LEFTY2	ENSG00000143768
LEMD3	ENSG00000174106
LEP	ENSG00000174697
LEPR	ENSG00000116678
LFNG	ENSG00000106003
LGALS2	ENSG00000100079
LGI1	ENSG00000108231
LGR4	ENSG00000205213
LHB	ENSG00000104826
LHCGR	ENSG00000138039
LHFPL5	ENSG00000197753
LHX3	ENSG00000107187
LHX4	ENSG00000121454
LIAS	ENSG00000121897
LIFR	ENSG00000113594
LIG1	ENSG00000105486
LIG4	ENSG00000174405
LIM2	ENSG00000105370
LIMS2	ENSG00000072163
LINS1	ENSG00000140471
LIPA	ENSG00000107798
LIPC	ENSG00000166035
LIPE	ENSG00000079435
LIPH	ENSG00000163898
LIPI	ENSG00000188992
LIPN	ENSG00000204020
LIPT1	ENSG00000144182
LITAF	ENSG00000189067
LMAN1	ENSG00000074695
LMAN2L	ENSG00000114988
LMBR1	ENSG00000105983
LMBRD1	ENSG00000168216
LMF1	ENSG00000260807
LMNA	ENSG00000160789
LMNB1	ENSG00000113368
LMNB2	ENSG00000176619
LMOD3	ENSG00000163380
LMX1B	ENSG00000136944
LONP1	ENSG00000196365
LOR	ENSG00000203782
LOXHD1	ENSG00000167210
LOXL1-AS1	ENSG00000261801
LOXL1	ENSG00000129038
LPA	ENSG00000198670
LPAR6	ENSG00000139679
LPIN1	ENSG00000134324
LPIN2	ENSG00000101577
LPL	ENSG00000175445
LPP	ENSG00000145012
LRAT	ENSG00000121207
LRBA	ENSG00000198589
LRIG2	ENSG00000198799
LRIT3	ENSG00000183423
LRP2	ENSG00000081479
LRP4	ENSG00000134569
LRP5	ENSG00000162337
LRP6	ENSG00000070018
LRP8	ENSG00000157193
LRPAP1	ENSG00000163956
LRPPRC	ENSG00000138095
LRRC6	ENSG00000129295
LRRC8A	ENSG00000136802
LRRK2	ENSG00000188906
LRSAM1	ENSG00000148356
LRTOMT	ENSG00000184154
LSS	ENSG00000160285
LST1	ENSG00000231048
LTA	ENSG00000230279
LTBP2	ENSG00000119681
LTBP3	ENSG00000168056
LTBP4	ENSG00000090006
LYRM4	ENSG00000214113
LYRM7	ENSG00000186687
LYST	ENSG00000143669
LYZ	ENSG00000090382
LZTFL1	ENSG00000163818
LZTR1	ENSG00000099949
LZTS1	ENSG00000061337
MAB21L2	ENSG00000181541
MAD1L1	ENSG00000002822
MADD	ENSG00000110514
MAFB	ENSG00000204103
MAF	ENSG00000178573
MAGED2	ENSG00000102316
MAGEL2	ENSG00000254585
MAG	ENSG00000105695
MAGT1	ENSG00000102158
MAK	ENSG00000111837
MAL	ENSG00000172005
MALT1	ENSG00000172175
MAML2	ENSG00000184384
MAMLD1	ENSG00000013619
MAN1B1	ENSG00000177239
MAN2B1	ENSG00000104774
MANBA	ENSG00000109323
MAOA	ENSG00000189221
MAP2K1	ENSG00000169032
MAP2K2	ENSG00000126934
MAP3K1	ENSG00000095015
MAP3K8	ENSG00000107968
MAPK8IP1	ENSG00000121653
MAPRE2	ENSG00000166974
MAPT	ENSG00000277956
MARS2	ENSG00000247626
MARS	ENSG00000166986
MARVELD2	ENSG00000152939
MASP1	ENSG00000127241
MASP2	ENSG00000009724
MASTL	ENSG00000120539
MAT1A	ENSG00000151224
MATN3	ENSG00000132031
